timestamp,cfg_id,backtest_variant,cost_variant,n_trades,win_rate,avg_winner_bps,avg_loser_bps,total_return_pct,sharpe_daily,max_drawdown_pct
2026-05-13T16:58:43.835880+00:00,B1_tgt075_stp04_h60_close,top1_T0_ambigProp,cost_inst,621,0.3623,5.15,-4.03,-0.0436,-0.860,0.0458
2026-05-13T16:59:41.019537+00:00,E1_wideRR_tgt08_stp03_h90,top1_T0,cost_inst,621,0.0274,0.31,-0.53,-0.0312,-8.461,0.0312
2026-05-13T16:59:43.215523+00:00,D1_tgt15_stp05_h120_close,top1_T0,cost_inst,621,0.0113,0.43,-0.51,-0.0310,-14.185,0.0309
2026-05-13T17:00:06.155589+00:00,C2_tgt10_stp05_h120_slip5,top1_T0_ambigMid,cost_inst,621,0.0596,1.29,-0.63,-0.0323,-5.217,0.0322
2026-05-13T17:02:32.232870+00:00,C1_tgt10_stp05_h120_close,top1_T0_ambigProp,cost_retail,621,0.0483,5.32,-2.23,-0.1156,-3.718,0.1154
2026-05-13T17:04:01.029334+00:00,B1_tgt075_stp04_h60_close,top1_T0_ambigProp,cost_retail,621,0.3156,4.41,-5.11,-0.1306,-2.573,0.1304
2026-05-13T17:04:15.759459+00:00,E1_wideRR_tgt08_stp03_h90,top1_T0,cost_retail,621,0.0000,0.00,-1.90,-0.1182,-32.024,0.1180
2026-05-13T17:04:19.853178+00:00,D1_tgt15_stp05_h120_close,top1_T0,cost_retail,621,0.0000,0.00,-1.90,-0.1179,-53.992,0.1177
2026-05-13T17:04:35.329034+00:00,C2_tgt10_stp05_h120_slip5,top1_T0_ambigMid,cost_retail,621,0.0113,3.01,-1.98,-0.1192,-19.271,0.1190
2026-05-13T17:06:38.929875+00:00,C1_tgt10_stp05_h120_close,top1_T0_ambigMid,cost_inst,621,0.1208,2.99,-0.94,-0.0287,-0.922,0.0287
2026-05-13T17:08:44.070080+00:00,E1_wideRR_tgt08_stp03_h90,top1_T0.20,cost_inst,233,0.0644,0.30,-0.53,-0.0110,-2.205,0.0110
2026-05-13T17:08:50.260213+00:00,D1_tgt15_stp05_h120_close,top1_T0.20,cost_inst,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T17:09:10.650456+00:00,B1_tgt075_stp04_h60_close,top1_T0_ambigMid,cost_inst,621,0.3623,5.16,-4.03,-0.0434,-0.859,0.0456
2026-05-13T17:09:51.397411+00:00,C2_tgt10_stp05_h120_slip5,top3_ambigProp,cost_inst,1863,0.2120,5.09,-2.15,-0.1146,-0.791,0.1335
